SampleID	geneID	count
D15.1N6T29	K00130	3
D15.1N6T29	K00131	0
D15.1N6T29	K00132	0
D15.1N6T29	K00133	2243
D15.1N6T29	K00134	2746
D15.1N6T29	K00135	283
D15.1N6T29	K00137	0
D15.1N6T29	K00138	0
D15.1N6T29	K00140	4
D15.1N6T29	K00145	1983
D15.1N6T29	K00146	0
D15.1N6T29	K00147	2350
D15.1N6T29	K00148	1
D15.1N6T29	K00150	0
D15.1N6T29	K00151	0
D15.1N6T29	K00153	0
D15.1N6T29	K00154	142
D15.1N6T29	K00156	11
D16.1N1T29	K00001	801
D16.1N1T29	K00002	0
D16.1N1T29	K00003	297
D16.1N1T29	K00004	0
D16.1N1T29	K00005	46
D16.1N1T29	K00007	0
D16.1N1T29	K00008	145
D16.1N1T29	K00009	0
D16.1N1T29	K00010	34
D16.1N1T29	K00012	3017
D16.1N1T29	K00013	1782
D16.1N1T29	K00014	989
D16.1N1T29	K00015	16
D16.1N1T29	K00016	374
D16.1N1T29	K00018	1327
D16.1N1T29	K00019	4
D16.1N1T29	K00020	116
D16.1N1T29	K00021	0
D16.1N1T29	K00023	0
D16.1N1T29	K00024	3356
D16.1N1T29	K00027	73
D16.1N1T29	K00029	3803
D16.1N1T29	K00030	42
D16.1N1T29	K00031	1123
D16.1N1T29	K00032	0
D16.1N1T29	K00033	1339
D16.1N1T29	K00034	0
D16.1N1T29	K00036	1480
D16.1N1T29	K00038	0
D16.1N1T29	K00039	0
D16.1N1T29	K00040	53
D16.1N1T29	K00041	1296
D16.1N1T29	K00042	3
D16.1N1T29	K00043	0
D16.1N1T29	K00045	237
D16.1N1T29	K00046	1653
D16.1N1T29	K00048	1983
D16.1N1T29	K00052	1986
D16.1N1T29	K00053	2362
D16.1N1T29	K00054	15
D16.1N1T29	K00055	9
D16.1N1T29	K00057	1639
D16.1N1T29	K00058	1322
D16.1N1T29	K00059	2458
D16.1N1T29	K00060	9
D16.1N1T29	K00064	0
D16.1N1T29	K00065	27
D16.1N1T29	K00066	0
D16.1N1T29	K00067	1869
D16.1N1T29	K00068	0
D16.1N1T29	K00073	0
D16.1N1T29	K00074	80
D16.1N1T29	K00075	1544
D16.1N1T29	K00076	7
D16.1N1T29	K00077	1466
D16.1N1T29	K00082	0
D16.1N1T29	K00086	12
D16.1N1T29	K00087	26
D16.1N1T29	K00088	3766
D16.1N1T29	K00090	5
D16.1N1T29	K00091	0
D16.1N1T29	K00094	0
D16.1N1T29	K00096	770
D16.1N1T29	K00097	1693
D16.1N1T29	K00098	0
D16.1N1T29	K00099	2575
D16.1N1T29	K00100	10
D16.1N1T29	K00101	1
D16.1N1T29	K00102	9
D16.1N1T29	K00104	98
D16.1N1T29	K00108	0
D16.1N1T29	K00111	1572
D16.1N1T29	K00112	138
D16.1N1T29	K00113	466
D16.1N1T29	K00116	7
D16.1N1T29	K00117	0
D16.1N1T29	K00121	0
D16.1N1T29	K00122	0
D16.1N1T29	K00123	1552
D16.1N1T29	K00124	353
D16.1N1T29	K00127	284
D16.1N1T29	K00128	84
D16.1N1T29	K00130	0
D16.1N1T29	K00131	0
D16.1N1T29	K00132	0
D16.1N1T29	K00133	2189
D16.1N1T29	K00134	2543
D16.1N1T29	K00135	26
D16.1N1T29	K00137	0
D16.1N1T29	K00138	1
D16.1N1T29	K00140	1
D16.1N1T29	K00145	1964
D16.1N1T29	K00146	0
D16.1N1T29	K00147	2443
D16.1N1T29	K00148	0
D16.1N1T29	K00150	0
D16.1N1T29	K00151	0
D16.1N1T29	K00153	0
D16.1N1T29	K00154	7
D16.1N1T29	K00156	17
D16.1N2T29	K00001	116
D16.1N2T29	K00002	32
D16.1N2T29	K00003	894
D16.1N2T29	K00004	1
D16.1N2T29	K00005	35
D16.1N2T29	K00007	0
D16.1N2T29	K00008	280
D16.1N2T29	K00009	29
D16.1N2T29	K00010	224
D16.1N2T29	K00012	3961
D16.1N2T29	K00013	787
D16.1N2T29	K00014	704
D16.1N2T29	K00015	23
D16.1N2T29	K00016	400
D16.1N2T29	K00018	544
D16.1N2T29	K00019	5
D16.1N2T29	K00020	37
D16.1N2T29	K00021	0
D16.1N2T29	K00023	1
D16.1N2T29	K00024	2578
D16.1N2T29	K00027	487
D16.1N2T29	K00029	2534
D16.1N2T29	K00030	23
D16.1N2T29	K00031	585
D16.1N2T29	K00032	1
D16.1N2T29	K00033	90
D16.1N2T29	K00034	0
D16.1N2T29	K00036	46
D16.1N2T29	K00038	0
D16.1N2T29	K00039	0
D16.1N2T29	K00040	325
D16.1N2T29	K00041	1125
D16.1N2T29	K00042	19
D16.1N2T29	K00043	0
D16.1N2T29	K00045	163
D16.1N2T29	K00046	953
D16.1N2T29	K00048	701
D16.1N2T29	K00052	1128
D16.1N2T29	K00053	1436
D16.1N2T29	K00054	33
D16.1N2T29	K00055	3
D16.1N2T29	K00057	1503
D16.1N2T29	K00058	1639
D16.1N2T29	K00059	1814
D16.1N2T29	K00060	46
D16.1N2T29	K00064	0
D16.1N2T29	K00065	44
D16.1N2T29	K00066	105
D16.1N2T29	K00067	1474.5
D16.1N2T29	K00068	10
D16.1N2T29	K00073	4
D16.1N2T29	K00074	384
D16.1N2T29	K00075	724
D16.1N2T29	K00076	131
D16.1N2T29	K00077	178
D16.1N2T29	K00082	7
D16.1N2T29	K00086	5
D16.1N2T29	K00087	134
D16.1N2T29	K00088	3235
D16.1N2T29	K00090	5
D16.1N2T29	K00091	24
D16.1N2T29	K00094	0
D16.1N2T29	K00096	174
D16.1N2T29	K00097	879
D16.1N2T29	K00098	0
D16.1N2T29	K00099	1647
D16.1N2T29	K00100	19
D16.1N2T29	K00101	1
D16.1N2T29	K00102	2
D16.1N2T29	K00104	79
D16.1N2T29	K00108	2
D16.1N2T29	K00111	1000
D16.1N2T29	K00112	113
D16.1N2T29	K00113	672
D16.1N2T29	K00116	13
D16.1N2T29	K00117	0
D16.1N2T29	K00121	1
D16.1N2T29	K00122	0
D16.1N2T29	K00123	229
D16.1N2T29	K00124	38
D16.1N2T29	K00127	33
D16.1N2T29	K00128	144
D16.1N2T29	K00130	2
D16.1N2T29	K00131	2
D16.1N2T29	K00132	7
D16.1N2T29	K00133	2221
D16.1N2T29	K00134	2550
D16.1N2T29	K00135	25
D16.1N2T29	K00137	0
D16.1N2T29	K00138	1
D16.1N2T29	K00140	75
D16.1N2T29	K00145	1325
D16.1N2T29	K00146	0
D16.1N2T29	K00147	945
D16.1N2T29	K00148	0
D16.1N2T29	K00150	3
D16.1N2T29	K00151	0
D16.1N2T29	K00153	0
D16.1N2T29	K00154	4
D16.1N2T29	K00156	0
D16.1N3T29	K00001	531
D16.1N3T29	K00002	0
D16.1N3T29	K00003	626
D16.1N3T29	K00004	0
D16.1N3T29	K00005	43
D16.1N3T29	K00007	0
D16.1N3T29	K00008	34
D16.1N3T29	K00009	7
D16.1N3T29	K00010	4
D16.1N3T29	K00012	2439
D16.1N3T29	K00013	1994
D16.1N3T29	K00014	1126
D16.1N3T29	K00015	8
D16.1N3T29	K00016	605
D16.1N3T29	K00018	1548
D16.1N3T29	K00019	133
D16.1N3T29	K00020	68
D16.1N3T29	K00021	0
D16.1N3T29	K00023	0
D16.1N3T29	K00024	3180
D16.1N3T29	K00027	57
D16.1N3T29	K00029	4062
D16.1N3T29	K00030	27
D16.1N3T29	K00031	823
D16.1N3T29	K00032	0
D16.1N3T29	K00033	1751
D16.1N3T29	K00034	0
D16.1N3T29	K00036	1957
D16.1N3T29	K00038	1
D16.1N3T29	K00039	0
D16.1N3T29	K00040	42
D16.1N3T29	K00041	1413
D16.1N3T29	K00042	3
D16.1N3T29	K00043	0
D16.1N3T29	K00045	89
D16.1N3T29	K00046	1689
D16.1N3T29	K00048	1048
D16.1N3T29	K00052	2282
D16.1N3T29	K00053	2787
D16.1N3T29	K00054	62
D16.1N3T29	K00055	10
D16.1N3T29	K00057	1999
D16.1N3T29	K00058	1543
D16.1N3T29	K00059	4146
D16.1N3T29	K00060	4
D16.1N3T29	K00064	0
D16.1N3T29	K00065	24
D16.1N3T29	K00066	0
D16.1N3T29	K00067	2318.5
D16.1N3T29	K00068	0
D16.1N3T29	K00073	0
D16.1N3T29	K00074	70
D16.1N3T29	K00075	1650
D16.1N3T29	K00076	81
D16.1N3T29	K00077	1600
D16.1N3T29	K00082	0
D16.1N3T29	K00086	32
D16.1N3T29	K00087	8
D16.1N3T29	K00088	3859
D16.1N3T29	K00090	0
D16.1N3T29	K00091	0
D16.1N3T29	K00094	0
D16.1N3T29	K00096	139
D16.1N3T29	K00097	1933
D16.1N3T29	K00098	0
D16.1N3T29	K00099	2841
D16.1N3T29	K00100	6
D16.1N3T29	K00101	1
D16.1N3T29	K00102	4
D16.1N3T29	K00104	204
D16.1N3T29	K00108	1
D16.1N3T29	K00111	503
D16.1N3T29	K00112	26
D16.1N3T29	K00113	170
D16.1N3T29	K00116	180
D16.1N3T29	K00117	7
D16.1N3T29	K00121	0
D16.1N3T29	K00122	0
D16.1N3T29	K00123	1199
D16.1N3T29	K00124	225
D16.1N3T29	K00127	194
D16.1N3T29	K00128	52
D16.1N3T29	K00130	1
D16.1N3T29	K00131	0
D16.1N3T29	K00132	0
D16.1N3T29	K00133	2355
D16.1N3T29	K00134	2599
D16.1N3T29	K00135	469
D16.1N3T29	K00137	0
D16.1N3T29	K00138	1
D16.1N3T29	K00140	4
D16.1N3T29	K00145	2113
D16.1N3T29	K00146	0
D16.1N3T29	K00147	2566
D16.1N3T29	K00148	0
D16.1N3T29	K00150	0
D16.1N3T29	K00151	0
D16.1N3T29	K00153	1
D16.1N3T29	K00154	10
D16.1N3T29	K00156	5
D16.1N4T29	K00001	118
D16.1N4T29	K00002	22
D16.1N4T29	K00003	699
D16.1N4T29	K00004	0
D16.1N4T29	K00005	21
D16.1N4T29	K00007	0
D16.1N4T29	K00008	160
D16.1N4T29	K00009	19
D16.1N4T29	K00010	131
D16.1N4T29	K00012	4625
D16.1N4T29	K00013	894
D16.1N4T29	K00014	828
D16.1N4T29	K00015	27
D16.1N4T29	K00016	279
D16.1N4T29	K00018	685
D16.1N4T29	K00019	12
D16.1N4T29	K00020	36
D16.1N4T29	K00021	0
D16.1N4T29	K00023	0
D16.1N4T29	K00024	3242
D16.1N4T29	K00027	264
D16.1N4T29	K00029	3093
D16.1N4T29	K00030	17
D16.1N4T29	K00031	410
D16.1N4T29	K00032	0
D16.1N4T29	K00033	133
D16.1N4T29	K00034	1
D16.1N4T29	K00036	101
D16.1N4T29	K00038	0
D16.1N4T29	K00039	0
D16.1N4T29	K00040	102
D16.1N4T29	K00041	1206
D16.1N4T29	K00042	13
D16.1N4T29	K00043	0
D16.1N4T29	K00045	129
D16.1N4T29	K00046	1195
D16.1N4T29	K00048	792
D16.1N4T29	K00052	1289
D16.1N4T29	K00053	1461
D16.1N4T29	K00054	15
D16.1N4T29	K00055	5
D16.1N4T29	K00057	1609
D16.1N4T29	K00058	1494
D16.1N4T29	K00059	1901
D16.1N4T29	K00060	37
D16.1N4T29	K00064	0
D16.1N4T29	K00065	24
D16.1N4T29	K00066	177
D16.1N4T29	K00067	1866.5
D16.1N4T29	K00068	7
D16.1N4T29	K00073	3
D16.1N4T29	K00074	195
D16.1N4T29	K00075	869
D16.1N4T29	K00076	103
D16.1N4T29	K00077	164
D16.1N4T29	K00082	3
D16.1N4T29	K00086	5
D16.1N4T29	K00087	67
D16.1N4T29	K00088	3654
D16.1N4T29	K00090	2
D16.1N4T29	K00091	18
D16.1N4T29	K00094	0
D16.1N4T29	K00096	117
D16.1N4T29	K00097	1086
D16.1N4T29	K00098	0
D16.1N4T29	K00099	1915
D16.1N4T29	K00100	35
D16.1N4T29	K00101	0
D16.1N4T29	K00102	4
D16.1N4T29	K00104	82
D16.1N4T29	K00108	0
D16.1N4T29	K00111	1071
D16.1N4T29	K00112	143
D16.1N4T29	K00113	651
D16.1N4T29	K00116	17
D16.1N4T29	K00117	1
D16.1N4T29	K00121	0
D16.1N4T29	K00122	0
D16.1N4T29	K00123	352
D16.1N4T29	K00124	79
D16.1N4T29	K00127	47
D16.1N4T29	K00128	93
D16.1N4T29	K00130	1
D16.1N4T29	K00131	2
D16.1N4T29	K00132	4
D16.1N4T29	K00133	2422
D16.1N4T29	K00134	2960
D16.1N4T29	K00135	31
D16.1N4T29	K00137	0
D16.1N4T29	K00138	1
D16.1N4T29	K00140	44
D16.1N4T29	K00145	1232
D16.1N4T29	K00146	0
D16.1N4T29	K00147	1136
D16.1N4T29	K00148	0
D16.1N4T29	K00150	2
D16.1N4T29	K00151	0
D16.1N4T29	K00153	0
D16.1N4T29	K00154	14
D16.1N4T29	K00156	0
D16.1N5T29	K00001	119
D16.1N5T29	K00002	31
D16.1N5T29	K00003	665
D16.1N5T29	K00004	1
D16.1N5T29	K00005	26
D16.1N5T29	K00007	0
D16.1N5T29	K00008	170
D16.1N5T29	K00009	33
D16.1N5T29	K00010	134
D16.1N5T29	K00012	3611
D16.1N5T29	K00013	952
D16.1N5T29	K00014	866
D16.1N5T29	K00015	12
D16.1N5T29	K00016	281
D16.1N5T29	K00018	680
D16.1N5T29	K00019	6
D16.1N5T29	K00020	47
D16.1N5T29	K00021	0
D16.1N5T29	K00023	0
D16.1N5T29	K00024	2741
D16.1N5T29	K00027	362
D16.1N5T29	K00029	3136
D16.1N5T29	K00030	23
D16.1N5T29	K00031	448
D16.1N5T29	K00032	0
D16.1N5T29	K00033	231
D16.1N5T29	K00034	0
D16.1N5T29	K00036	157
D16.1N5T29	K00038	0
D16.1N5T29	K00039	0
D16.1N5T29	K00040	165
D16.1N5T29	K00041	1600
D16.1N5T29	K00042	9
D16.1N5T29	K00043	0
D16.1N5T29	K00045	113
D16.1N5T29	K00046	1085
D16.1N5T29	K00048	995
D16.1N5T29	K00052	1350
D16.1N5T29	K00053	1503
D16.1N5T29	K00054	16
D16.1N5T29	K00055	0
D16.1N5T29	K00057	1547
D16.1N5T29	K00058	1598
D16.1N5T29	K00059	1823
D16.1N5T29	K00060	55
D16.1N5T29	K00064	0
D16.1N5T29	K00065	14
D16.1N5T29	K00066	149
D16.1N5T29	K00067	1850
D16.1N5T29	K00068	15
D16.1N5T29	K00073	2
D16.1N5T29	K00074	199
D16.1N5T29	K00075	926
D16.1N5T29	K00076	65
D16.1N5T29	K00077	217
D16.1N5T29	K00082	4
D16.1N5T29	K00086	4
D16.1N5T29	K00087	139
D16.1N5T29	K00088	3438
D16.1N5T29	K00090	1
D16.1N5T29	K00091	21
D16.1N5T29	K00094	0
D16.1N5T29	K00096	94
D16.1N5T29	K00097	908
D16.1N5T29	K00098	0
D16.1N5T29	K00099	1919
D16.1N5T29	K00100	13
D16.1N5T29	K00101	1
D16.1N5T29	K00102	0
D16.1N5T29	K00104	127
D16.1N5T29	K00108	0
D16.1N5T29	K00111	759
D16.1N5T29	K00112	94
D16.1N5T29	K00113	377
D16.1N5T29	K00116	21
D16.1N5T29	K00117	0
D16.1N5T29	K00121	2
D16.1N5T29	K00122	0
D16.1N5T29	K00123	320
D16.1N5T29	K00124	76
D16.1N5T29	K00127	48
D16.1N5T29	K00128	84
D16.1N5T29	K00130	0
D16.1N5T29	K00131	5
D16.1N5T29	K00132	2
D16.1N5T29	K00133	2274
D16.1N5T29	K00134	2643
D16.1N5T29	K00135	47
D16.1N5T29	K00137	0
D16.1N5T29	K00138	2
D16.1N5T29	K00140	37
D16.1N5T29	K00145	1195
D16.1N5T29	K00146	0
D16.1N5T29	K00147	1218
D16.1N5T29	K00148	0
D16.1N5T29	K00150	7
D16.1N5T29	K00151	0
D16.1N5T29	K00153	0
D16.1N5T29	K00154	20
D16.1N5T29	K00156	0
D6.3N1T42	K00001	294
D6.3N1T42	K00002	2
D6.3N1T42	K00003	876
D6.3N1T42	K00004	0
D6.3N1T42	K00005	59
D6.3N1T42	K00007	0
D6.3N1T42	K00008	226
D6.3N1T42	K00009	2
D6.3N1T42	K00010	64
D6.3N1T42	K00012	4948
D6.3N1T42	K00013	2154
D6.3N1T42	K00014	1061
D6.3N1T42	K00015	39
D6.3N1T42	K00016	1163
D6.3N1T42	K00018	1181
D6.3N1T42	K00019	5
D6.3N1T42	K00020	163
D6.3N1T42	K00021	0
D6.3N1T42	K00023	0
D6.3N1T42	K00024	3154
D6.3N1T42	K00027	175
D6.3N1T42	K00029	3261
D6.3N1T42	K00030	72
D6.3N1T42	K00031	496
D6.3N1T42	K00032	0
D6.3N1T42	K00033	967
D6.3N1T42	K00034	0
D6.3N1T42	K00036	836
D6.3N1T42	K00038	0
D6.3N1T42	K00039	0
D6.3N1T42	K00040	148
D6.3N1T42	K00041	813
D6.3N1T42	K00042	8
D6.3N1T42	K00043	0
D6.3N1T42	K00045	557
D6.3N1T42	K00046	1552
D6.3N1T42	K00048	706
D6.3N1T42	K00052	2166
D6.3N1T42	K00053	2222
D6.3N1T42	K00054	52
D6.3N1T42	K00055	20
D6.3N1T42	K00057	1748
D6.3N1T42	K00058	1593
D6.3N1T42	K00059	2365
D6.3N1T42	K00060	51
D6.3N1T42	K00064	0
D6.3N1T42	K00065	58
D6.3N1T42	K00066	0
D6.3N1T42	K00067	2321.5
D6.3N1T42	K00068	0
D6.3N1T42	K00073	0
D6.3N1T42	K00074	179
D6.3N1T42	K00075	1282
D6.3N1T42	K00076	27
D6.3N1T42	K00077	1000
D6.3N1T42	K00082	4
D6.3N1T42	K00086	28
D6.3N1T42	K00087	19
D6.3N1T42	K00088	4757
D6.3N1T42	K00090	4
D6.3N1T42	K00091	2
D6.3N1T42	K00094	0
D6.3N1T42	K00096	320
D6.3N1T42	K00097	1276
D6.3N1T42	K00098	0
D6.3N1T42	K00099	2431
D6.3N1T42	K00100	15
D6.3N1T42	K00101	0
D6.3N1T42	K00102	7
D6.3N1T42	K00104	177
D6.3N1T42	K00108	0
D6.3N1T42	K00111	2123
D6.3N1T42	K00112	171
D6.3N1T42	K00113	1094
D6.3N1T42	K00116	9
D6.3N1T42	K00117	0
D6.3N1T42	K00121	0
D6.3N1T42	K00122	0
D6.3N1T42	K00123	2788
D6.3N1T42	K00124	565
D6.3N1T42	K00127	485
D6.3N1T42	K00128	145
D6.3N1T42	K00130	0
D6.3N1T42	K00131	0
D6.3N1T42	K00132	0
D6.3N1T42	K00133	2836
D6.3N1T42	K00134	3283
D6.3N1T42	K00135	76
D6.3N1T42	K00137	0
D6.3N1T42	K00138	0
D6.3N1T42	K00140	36
D6.3N1T42	K00145	2410
D6.3N1T42	K00146	0
D6.3N1T42	K00147	2126
D6.3N1T42	K00148	0
D6.3N1T42	K00150	0
D6.3N1T42	K00151	0
D6.3N1T42	K00153	0
D6.3N1T42	K00154	1
D6.3N1T42	K00156	1
D6.3N4T42	K00001	179
D6.3N4T42	K00002	30
D6.3N4T42	K00003	932
D6.3N4T42	K00004	2
D6.3N4T42	K00005	26
D6.3N4T42	K00007	0
D6.3N4T42	K00008	343
D6.3N4T42	K00009	12
D6.3N4T42	K00010	119
D6.3N4T42	K00012	5596
D6.3N4T42	K00013	1053
D6.3N4T42	K00014	973
D6.3N4T42	K00015	21
D6.3N4T42	K00016	222
D6.3N4T42	K00018	531
D6.3N4T42	K00019	11
D6.3N4T42	K00020	43
D6.3N4T42	K00021	0
D6.3N4T42	K00023	1
D6.3N4T42	K00024	4056
D6.3N4T42	K00027	307
D6.3N4T42	K00029	3800
D6.3N4T42	K00030	33
D6.3N4T42	K00031	483
D6.3N4T42	K00032	0
D6.3N4T42	K00033	83
D6.3N4T42	K00034	1
D6.3N4T42	K00036	54
D6.3N4T42	K00038	0
D6.3N4T42	K00039	0
D6.3N4T42	K00040	182
D6.3N4T42	K00041	1265
D6.3N4T42	K00042	9
D6.3N4T42	K00043	0
D6.3N4T42	K00045	287
D6.3N4T42	K00046	1324
D6.3N4T42	K00048	717
D6.3N4T42	K00052	1453
D6.3N4T42	K00053	2110
D6.3N4T42	K00054	6
D6.3N4T42	K00055	1
D6.3N4T42	K00057	2042
D6.3N4T42	K00058	1875
D6.3N4T42	K00059	2217
D6.3N4T42	K00060	27
D6.3N4T42	K00064	0
D6.3N4T42	K00065	25
D6.3N4T42	K00066	244
D6.3N4T42	K00067	1998
D6.3N4T42	K00068	9
D6.3N4T42	K00073	1
D6.3N4T42	K00074	169
D6.3N4T42	K00075	810
D6.3N4T42	K00076	303
D6.3N4T42	K00077	259
D6.3N4T42	K00082	14
D6.3N4T42	K00086	0
D6.3N4T42	K00087	119
D6.3N4T42	K00088	4509
D6.3N4T42	K00090	2
D6.3N4T42	K00091	23
D6.3N4T42	K00094	0
D6.3N4T42	K00096	243
D6.3N4T42	K00097	1477
D6.3N4T42	K00098	0
D6.3N4T42	K00099	2179
D6.3N4T42	K00100	30
D6.3N4T42	K00101	0
D6.3N4T42	K00102	1
D6.3N4T42	K00104	89
D6.3N4T42	K00108	0
D6.3N4T42	K00111	1894
D6.3N4T42	K00112	268
D6.3N4T42	K00113	1279
D6.3N4T42	K00116	27
D6.3N4T42	K00117	0
D6.3N4T42	K00121	0
D6.3N4T42	K00122	0
D6.3N4T42	K00123	400
D6.3N4T42	K00124	84
D6.3N4T42	K00127	65
D6.3N4T42	K00128	89
D6.3N4T42	K00130	0
D6.3N4T42	K00131	2
D6.3N4T42	K00132	1
D6.3N4T42	K00133	2905
D6.3N4T42	K00134	3514
D6.3N4T42	K00135	37
D6.3N4T42	K00137	0
D6.3N4T42	K00138	2
D6.3N4T42	K00140	68
D6.3N4T42	K00145	1809
D6.3N4T42	K00146	0
D6.3N4T42	K00147	1247
D6.3N4T42	K00148	0
D6.3N4T42	K00150	3
D6.3N4T42	K00151	0
D6.3N4T42	K00153	0
D6.3N4T42	K00154	27
D6.3N4T42	K00156	1
D6.3N5T42	K00001	83
D6.3N5T42	K00002	60
D6.3N5T42	K00003	940
D6.3N5T42	K00004	0
D6.3N5T42	K00005	72
D6.3N5T42	K00007	0
D6.3N5T42	K00008	469
D6.3N5T42	K00009	56
D6.3N5T42	K00010	184
D6.3N5T42	K00012	4821
D6.3N5T42	K00013	1230
D6.3N5T42	K00014	767
D6.3N5T42	K00015	37
D6.3N5T42	K00016	451
D6.3N5T42	K00018	853
D6.3N5T42	K00019	21
D6.3N5T42	K00020	59
